gene,log2FC,t_stat,p_value,case_mean,ctrl_mean,p_adj
VNN3,0.7016949060363247,7.696682320736506,1.5034956411428832e-10,0.30304267889743586,-0.39865222713888887,4.327099204827145e-08
LHFPL2,0.7054533507105263,7.710875920618603,1.5316588539454424e-10,0.3033121782105263,-0.4021411725,4.327099204827145e-08
CD163,0.789965209315705,8.155094961465426,1.5023332619831697e-10,0.4365982474615384,-0.35336696185416666,4.327099204827145e-08
NPL,0.7281091978316611,7.798432475507624,1.5143024908666092e-10,0.23929977717948717,-0.4888094206521739,4.327099204827145e-08
HSD17B8,-0.44720133357017544,-7.830305564767374,1.740187492779239e-10,-0.14606372873684212,0.30113760483333335,4.81379365190057e-08
KLHL3,-0.6104953480133779,-7.645627536015506,2.0602372381160955e-10,-0.27894814723076916,0.3315472007826087,5.5828224587154114e-08
DCTD,-0.2983693928461539,-7.584686676227159,2.331038713619663e-10,-0.11658793234615385,0.18178146050000002,6.068927850870958e-08
ZNF134,-0.3482622672675586,-7.952793516508467,2.301096187700355e-10,-0.12787789561538462,0.22038437165217395,6.068927850870958e-08
ARG1,1.6940285000745616,7.9947270038553775,2.4008952336125444e-10,1.065389759657895,-0.6286387404166667,6.08647557828568e-08
TNFSF13B,0.8420093134780702,7.858326306943168,2.429456285955272e-10,0.2386138063947368,-0.6033955070833333,6.08647557828568e-08
TNFSF10,0.8916334486885965,7.715522390972897,2.5870679548993336e-10,0.3819062091052632,-0.5097272395833333,6.361312649102472e-08
SRPK1,0.809033248756579,7.581643994407279,2.817212231730658e-10,0.35354857663157896,-0.45548467212500005,6.801262547803578e-08
PDCL3,-0.38859010362280705,-7.548731806299743,3.189025702674242e-10,-0.1801765832894737,0.20841352033333335,7.428751452650629e-08
APOA1BP,-0.5140866272565789,-7.528248866420163,3.143769083947421e-10,-0.23460752163157894,0.279479105625,7.428751452650629e-08
VASP,0.5434256618317308,7.493537457566563,3.287590087363659e-10,0.22645437026923076,-0.31697129156250003,7.526313996554254e-08
TMEM134,-0.4397268314320175,-7.650211514123274,3.564200266126406e-10,-0.1812078584736842,0.2585189729583333,8.021262904004478e-08
SLC25A42,-0.6154995838640351,-7.481962551111702,3.7781979454347976e-10,-0.20255836544736844,0.4129412184166667,8.361152053247208e-08
ZNF548,-0.5517434959122807,-7.582935229736004,4.0752378520351167e-10,-0.17902856007894738,0.3727149358333333,8.749634776236253e-08
ABHD14A,-0.4469749024188596,-7.46108968992273,4.0855351417882797e-10,-0.18736838171052628,0.25960652070833334,8.749634776236253e-08
HAL,0.8598627820713489,7.526212203306717,4.2686318882209704e-10,0.2205200198974359,-0.6393427621739131,8.996649874888579e-08
CD6,-0.9263154222368422,-7.511087238729773,4.4200825402027497e-10,-0.4404123182368421,0.485903104,9.170289995126892e-08
KPNB1,0.5964367305629878,7.438209691455886,4.845109923049768e-10,0.2566957721282051,-0.3397409584347827,9.897441470500743e-08
APRT,-0.6808281818830129,-7.503989927762054,5.243472112609353e-10,-0.24064088482051288,0.4401872970625,1.054891253200409e-07
ATP6V1A,0.6889566964994425,7.534861465430224,5.577999750118423e-10,0.2227906172820513,-0.4661660792173912,1.0767301676016346e-07
PAK2,0.611619064051282,7.483453338079667,5.595299108639313e-10,0.342240164051282,-0.2693789,1.0767301676016346e-07
MTF1,0.5492669541204014,7.460996845491799,5.494266816970133e-10,0.3162900000769231,-0.23297695404347826,1.0767301676016346e-07
MFSD1,0.634833106756579,7.509399358576398,5.735461523148557e-10,0.24030253613157898,-0.394530570625,1.0879351157766649e-07
GLTSCR2,-0.6011946034210526,-7.375462077038239,5.917305477791898e-10,-0.2501475679210526,0.3510470355,1.106619466677758e-07
PDXP,-0.44418475795763657,-7.37716874019898,6.002371671282534e-10,-0.2223502434358975,0.2218345145217391,1.1069373757123539e-07
PREX1,0.620819651622807,7.409384563622039,6.10138130905291e-10,0.2796713162894736,-0.34114833533333333,1.1097827537206102e-07
SLC2A3,0.7537909761761428,7.329264606163138,6.942834170098174e-10,0.4004995908717948,-0.3532913853043479,1.2457696231157237e-07
COPS7B,-0.39276161783991226,-7.315763361545247,7.252070602453263e-10,-0.16628471163157896,0.2264769062083333,1.2839065794583257e-07
LY9,-0.4035367072275641,-7.307985763951518,8.03589919163403e-10,-0.1568295337136752,0.2467071735138889,1.4039561771910087e-07
KLF12,-0.41737289568910263,-7.276458449100858,8.17747579973472e-10,-0.1459251678974359,0.2714477277916667,1.4101366710243847e-07
TLN1,0.7830229939765885,7.312552718827007,8.523789421107111e-10,0.48031241984615375,-0.3027105741304348,1.4326439991577242e-07
LRRK2,0.5823875716634614,7.255498491360253,8.425360075094918e-10,0.2747451710384615,-0.307642400625,1.4326439991577242e-07
MTX3,-0.49538870814912284,-7.269683470309672,8.908488858370512e-10,-0.2227563098157895,0.27263239833333336,1.4785864382680459e-07
BIN1,-0.6958886543751394,-7.271692266860301,9.086171979813255e-10,-0.3048190556794872,0.39106959869565217,1.4894591549130912e-07
PAK1,0.5739091573179824,7.235562388818124,1.0994658821013276e-09,0.2421247100263158,-0.3317844472916667,1.780330241773345e-07
EVL,-0.7232993469385967,-7.424922547464485,1.1667244593380294e-09,-0.48906672360526326,0.23423262333333336,1.86647799651691e-07
KIF1B,0.5462520403044872,7.272228470282344,1.1931671289348986e-09,0.2642202323461538,-0.2820318079583333,1.8860563259520931e-07
RFWD2,0.3653333378952991,7.180230192524986,1.2546512634522973e-09,0.09317295392307691,-0.2721603839722222,1.9599128795434827e-07
PDPK1,0.3071055568344017,7.166978170434547,1.272654232935562e-09,0.11511718815384618,-0.19198836868055555,1.9649189424323713e-07
ST6GALNAC6,-0.5212362060570176,-7.2103124160173815,1.492024685305199e-09,-0.1593543974736842,0.36188180858333335,2.2771383645382105e-07
IVNS1ABP,0.35553142798397436,7.127480004720223,1.5259830025118107e-09,0.12833717924786323,-0.22719424873611113,2.3025002621990707e-07
ZCCHC6,0.6167656586309921,7.241548773370857,1.5661990191280087e-09,0.3675975527179487,-0.24916810591304336,2.3366281546046853e-07
RTN4,0.3132865608923611,7.084685711674794,1.6653098048001788e-09,0.09123641147222224,-0.22205014942013887,2.4568870653485307e-07
RPS2,-0.4778135080289855,-7.141203509693009,1.6840617697603082e-09,-0.20442236433333333,0.27339114369565215,2.4572496899865246e-07
UBR2,0.5649974695350877,7.1009747487231705,1.8644494625819138e-09,0.27898060536842106,-0.28601686416666666,2.690886952626375e-07
ST8SIA4,0.3414358698707265,7.291270285541429,1.896143921170206e-09,0.11093673516239318,-0.2304991347083333,2.7072041919675264e-07
ICAM2,-0.582690041366228,-7.058806225131197,1.992365124399729e-09,-0.17301742565789474,0.4096726157083333,2.814321715082936e-07
APAF1,0.4275665343269231,7.035658066660431,2.076451152440781e-09,0.18441097524358976,-0.24315555908333333,2.9022229896956514e-07
