Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Process (GO:0043066),19/482,0.0010679541714354,0.0338602412439415,0,0,2.3427568651650725,16.02916695328215,NOTCH2;BNIP3L;GRN;SIAH2;SEMA3E;KLF4;MPO;MMP9;THBS1;IFIT3;CEACAM6;PDK4;PPT1;ADAM8;PAK2;BIRC2;HSPA1A;GRINA;MCL1
GO_Biological_Process_2023,Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production (GO:2000341),3/12,0.001082998707702,0.0338602412439415,0,0,18.59469696969697,126.96499077357404,F2RL1;KLF4;TLR4
GO_Biological_Process_2023,Astrocyte Activation (GO:0048143),3/12,0.001082998707702,0.0338602412439415,0,0,18.59469696969697,126.96499077357404,GRN;IFNGR1;C5AR1
GO_Biological_Process_2023,Glucose Import (GO:0046323),3/12,0.001082998707702,0.0338602412439415,0,0,18.59469696969697,126.96499077357404,SLC2A14;SORT1;SLC2A3
GO_Biological_Process_2023,Defense Response To Bacterium (GO:0042742),11/204,0.0010918255943229,0.0338602412439415,0,0,3.2228581756838173,21.979583771706277,ANXA3;SLC11A1;HMGB2;S100A12;CTSG;BPI;PGLYRP1;TLR4;MPO;CAMP;TLR2
GO_Biological_Process_2023,Cellular Response To Type II Interferon (GO:0071346),6/66,0.0011117940959875,0.034053841384509,0,0,5.611747851002866,38.1698757894721,IFNGR1;STAT1;CD58;JAK2;TLR4;TLR2
GO_Biological_Process_2023,Positive Regulation Of Binding (GO:0051099),7/91,0.0011815355597663,0.0357486551680533,0,0,4.684147509578544,31.575559021311808,RALB;LRRK2;HMGB2;TXN;PARP9;MMP9;STK3
GO_Biological_Process_2023,Negative Regulation Of Cellular Catabolic Process (GO:0031330),6/67,0.001203212864896,0.0359659170820121,0,0,5.519470148903189,37.1060726557935,ROCK1;RRAGD;STAT3;HP;SORL1;MCL1
GO_Biological_Process_2023,Negative Regulation Of Cytokine Production (GO:0001818),10/178,0.0013385312852506,0.039534477603653,0,0,3.360420979986197,22.23315788196294,ORM1;CEACAM1;SLC11A1;NPTN;F2RL1;IRAK3;BPI;KLF4;TLR4;THBS1
GO_Biological_Process_2023,Positive Regulation Of MAPK Cascade (GO:0043410),14/310,0.0013698541793833,0.0396235039434227,0,0,2.683740191804708,17.694035910267324,NOTCH2;ROCK1;LRRK2;PELI2;C5AR1;EIF2AK2;IQGAP1;THBS1;PIK3CG;TAOK1;S100A12;F2RL1;ADAM8;TLR4
GO_Biological_Process_2023,Regulation Of Nitric-Oxide Synthase Biosynthetic Process (GO:0051769),3/13,0.0013894578166375,0.0396235039434227,0,0,16.734375,110.0928035363594,JAK2;TLR4;TLR2
GO_Biological_Process_2023,Clathrin Coat Assembly (GO:0048268),3/13,0.0013894578166375,0.0396235039434227,0,0,16.734375,110.0928035363594,HIP1;FCHO2;PICALM
GO_Biological_Process_2023,Regulation Of Actin Filament Polymerization (GO:0030833),6/70,0.0015122338789392,0.0426346847005486,0,0,5.259939111747851,34.15892474439603,VASP;MTPN;DAAM2;MYADM;SSH2;MEGF9
GO_Biological_Process_2023,Positive Regulation Of Multicellular Organismal Process (GO:0051240),16/387,0.0016063975137897,0.0444901859431672,0,0,2.451987373677138,15.775501169195316,NCOA1;ROCK1;ACSL1;SLC11A1;EIF2AK2;LILRB2;SORL1;PIK3CG;SAP30;SDCBP;LRG1;F2RL1;ALPL;ADAM8;JAK2;B4GALT5
GO_Biological_Process_2023,Regulation Of Macroautophagy (GO:0016241),7/96,0.0016139124284099,0.0444901859431672,0,0,4.4198631021567865,28.415715209891207,SH3GLB1;ATP6V1A;BNIP3L;SESN3;LRRK2;ATP6V1B2;GNAI3
GO_Biological_Process_2023,Integrated Stress Response Signaling (GO:0140467),4/29,0.0016320556605041,0.0444959350957231,0,0,8.943589743589744,57.39919802978133,MAFB;CEBPD;EIF2AK2;FOS
GO_Biological_Process_2023,Negative Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043154),5/49,0.0017213613677295,0.0458554164651724,0,0,6.363961038961039,40.504319767398286,SIAH2;KLF4;MMP9;THBS1;PAK2
GO_Biological_Process_2023,T Cell Proliferation (GO:0042098),3/14,0.0017452586973452,0.0458554164651724,0,0,15.212293388429751,96.61103124850209,DOCK8;SLC11A1;PIK3CG
GO_Biological_Process_2023,Cellular Response To Hypoxia (GO:0071456),6/72,0.0017495193625618,0.0458554164651724,0,0,5.100026048450117,32.377077677896466,NPEPPS;BNIP3L;ADAM8;PTGS2;HIF1A;ZFP36L1
