gene,log2FC,t_stat,p_value,p_adj
MANBAL,-72.5774509803922,4.419770231278219,3.767800187246191e-05,0.004002308070900394
ADRM1,196.49705882352953,-4.466446153530408,3.96771542286232e-05,0.004181216300378245
VPS26A,-319.34705882352864,4.401122565835925,4.0474531898548995e-05,0.004231660114558532
TRIM28,134.51176470588246,-4.396956768044866,4.114409583851587e-05,0.004257462884023705
COX7A2,-2424.702941176467,4.419144893967602,4.136260822707169e-05,0.004257462884023705
YPEL5,-1219.6941176470573,4.414654476035398,4.330415353712192e-05,0.00442301962050696
ZNF585A,-67.31323529411759,4.416672852417774,4.668068187114027e-05,0.004613034638833478
MTHFD2L,-49.394117647058806,4.490064622762854,4.616331207732744e-05,0.004613034638833478
DCP2,-719.7000000000003,4.375035185384924,4.660461337889649e-05,0.004613034638833478
CGRRF1,-140.1882352941176,4.364164969447136,4.685059152329747e-05,0.004613034638833478
SCAMP3,149.81470588235288,-4.373932938815381,4.743551174155358e-05,0.004613034638833478
WFDC10B,-10.34852941176473,4.356434718928171,4.719301336753919e-05,0.004613034638833478
PPP2CA,-228.2970588235296,4.361036787913811,4.775844017190329e-05,0.004613034638833478
PELP1,77.34705882352938,-4.3809706092572025,4.7943875595648434e-05,0.004613034638833478
PAPD4,-356.1735294117648,4.345226697800788,4.981030098188586e-05,0.0047581379599818735
MRPS23,-96.1058823529412,4.332356558202792,5.149090436041524e-05,0.004883544486411383
RB1CC1,-301.0705882352938,4.369114640138075,5.381949626619943e-05,0.005068193414344652
SLC25A31,-15.373529411764679,4.328473482558161,5.4905036008880296e-05,0.005134007522013468
AKR1B1,422.9588235294118,-4.320303001734464,5.791149621521056e-05,0.005311187896963112
EAF2,-90.75588235294123,4.345564560524324,5.773731791693679e-05,0.005311187896963112
COPE,569.757352941177,-4.326048741270656,5.799986783097237e-05,0.005311187896963112
USP5,168.80294117647065,-4.286744755337269,6.181622945689506e-05,0.005621889689922278
SLC4A7,-322.57352941176475,4.2834232400555114,6.289902756943486e-05,0.005681450939230994
TBCC,-200.49411764705883,4.360129463414188,6.441884796681582e-05,0.005779415292590408
FBXW5,131.18823529411782,-4.284135379887983,6.509717933335225e-05,0.0057816719694876555
PCNP,-1152.9323529411758,4.272665166626591,6.531486635209733e-05,0.0057816719694876555
PRPSAP2,191.7058823529411,-4.2745208675166735,6.659914299416896e-05,0.005856314044215731
USP11,60.11470588235295,-4.268997069600061,6.874168255107292e-05,0.006004947769165436
TXN,-1666.9676470588229,4.270159821907107,7.032986919591858e-05,0.006103529432571287
PRPF19,155.99705882352941,-4.240605130752647,7.198199848372764e-05,0.0062063439991359454
CHUK,-160.85294117647084,4.246975018851072,7.449448930266625e-05,0.006381534380392274
TMEM126B,-684.3941176470591,4.272341637745551,7.526188947558573e-05,0.006405944669595046
CD46,-1252.661764705881,4.222186780979951,7.601282422097064e-05,0.006428651465006676
NFU1,-131.52941176470597,4.241564370271353,7.728075603802982e-05,0.006494518219449114
MTA2,151.32352941176464,-4.222722225301244,7.870975339422412e-05,0.006573006953261055
ATP13A2,35.56470588235294,-4.214057068795956,8.001148200239725e-05,0.006639952862673942
RBBP8,-27.79117647058831,4.214055717389071,8.1947862040651e-05,0.006758408150160025
CLK4,-199.94411764705887,4.252297946435177,8.309914843572607e-05,0.006811052425491178
COPS7B,152.1029411764705,-4.191788168065254,8.423952111651292e-05,0.006862161726288702
SLC26A6,-37.687254901960785,4.244040491926044,8.711897063315115e-05,0.007053449341871836
SLC11A2,-121.98529411764696,4.214369457654397,8.796458695632244e-05,0.007078750215794238
ST3GAL6,-156.3088235294116,4.235265726509571,8.969867041025449e-05,0.007174812925947946
TICAM2,-273.9205882352942,4.193035082452016,9.254521554392013e-05,0.007318448064157035
PTPN12,-520.3500000000001,4.18570621186043,9.259672200469814e-05,0.007318448064157035
KBTBD3,-19.03676470588229,4.166792807528129,9.736553947848998e-05,0.007618867652215236
MRPL13,-213.0088235294118,4.1615051565258865,9.806416949171414e-05,0.007618867652215236
